"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @UELSRI: Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY…",FALSE,0,NA,2015-11-27 12:03:28,FALSE,NA,"670211334949232640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urbanlandplan",2,TRUE,FALSE,NA,NA
"RT @UELSRI: Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY…",FALSE,0,NA,2015-11-27 10:38:01,FALSE,NA,"670189829716582400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LukeGreysmith",2,TRUE,FALSE,NA,NA
"Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY59u #turasGI",FALSE,2,NA,2015-11-26 16:26:01,FALSE,NA,"669915020445265921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",2,FALSE,FALSE,NA,NA
"Congrats #turasGI partner @PoplarHARCA on winning the Nat Fed Community Impact Week: Greener Living Award for Energy Champions Well deserved",FALSE,1,NA,2015-11-24 14:26:22,FALSE,NA,"669160131838484480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",0,FALSE,FALSE,NA,NA
"Very please to be on the advisory panel for this great initiative #turasGI https://t.co/8YbiCOyJNO",FALSE,1,NA,2015-11-23 14:20:52,FALSE,NA,"668796361916174336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",0,FALSE,FALSE,NA,NA
"RT @UELSRI: Good to see Baubotanik at the #greeninfrastructure conference. #turasGI partner on the @helixpflanzen Livingroom https://t.co/L…",FALSE,0,NA,2015-11-23 11:34:34,FALSE,NA,"668754507644448768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcus_collier",2,TRUE,FALSE,NA,NA
"RT @UELSRI: Good to see Baubotanik at the #greeninfrastructure conference. #turasGI partner on the @helixpflanzen Livingroom https://t.co/L…",FALSE,0,NA,2015-11-23 11:00:18,FALSE,NA,"668745885178855425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helixpflanzen",2,TRUE,FALSE,NA,NA
"Good to see Baubotanik at the #greeninfrastructure conference. #turasGI partner on the @helixpflanzen Livingroom https://t.co/LSSyEHrm4l",FALSE,3,NA,2015-11-23 10:59:06,FALSE,NA,"668745585680338944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",2,FALSE,FALSE,NA,NA
"Congratulations @helixpflanzen really well deserved #turasGI https://t.co/uYf5O7TEZZ",FALSE,1,NA,2015-11-23 10:38:39,FALSE,NA,"668740437004435457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",0,FALSE,FALSE,NA,NA
